title_raw,year,journal_raw,doi_raw,pais,adsorbente,analitos,qmax_mg_g,remocion_pct,isoterma,cinetica,phpzc,bet_m2g,ph_operacional,dosis_g_l,tipo_matriz,ciclos_regen,etiqueta,score
High performance of Mn2(BDC)2(DMF)2-derived MnO@C nanocomposite as superior remediator for a series of emergent antibiotics,2020,Journal of Molecular Liquids,10.1016/j.molliq.2020.113038,viet nam,Nanocompuesto,Tetraciclina; Ciprofloxacino; Cloranfenicol,,,,,,,,,,,INCLUIDO_ALTA,73
Alginate-based hydrogels modified with olive pomace and lignin to removal organic pollutants from aqueous solutions,2020,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2020.03.081,spain,Biopolimero,,,,,PSO,,,,,,,INCLUIDO_ALTA,94
Pyrene-functionalized silsesquioxane as fluorescent nanoporous material for antibiotics detection and removal,2020,Microporous and Mesoporous Materials,10.1016/j.micromeso.2020.110135,china,,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,54
Magnetically separable Fe-MIL-88B_NH2 carbonaceous nanocomposites for efficient removal of sulfamethoxazole from aqueous solutions,2020,Journal of Colloid and Interface Science,10.1016/j.jcis.2020.02.116,china,,Sulfametoxazol,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,65
"Nano-size biomass derived from pomegranate peel for enhanced removal of cefixime antibiotic from aqueous media: Kinetic, equilibrium and thermodynamic study",2020,International Journal of Environmental Research and Public Health,10.3390/ijerph17124223,,Carbon activado,,,,Langmuir + Freundlich,PSO,,,,,,,INCLUIDO_ALTA,68
Preparation and Characterization of Sulfated Cellulose Nanocrystalline and its Composite Membrane for Removal of Tetracycline Hydrochloride in Water,2020,Energy and Environmental Materials,10.1002/eem2.12055,china,Biopolimero,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,52
Novel smart composite materials for industrial wastewater treatment and reuse,2020,SN Applied Sciences,10.1007/s42452-020-2778-0,united kingdom,,,,,,,,,,,Sintetica,,INCLUIDO_ALTA,39
A water resistance magnetic graphene-anchored zeolitic imidazolate framework for efficient adsorption and removal of residual tetracyclines in wastewater,2020,Water Science and Technology,10.2166/wst.2020.283,china,MOF,Tetraciclina; Oxitetraciclina; Clortetraciclina,,,Freundlich,PSO,,,,,,,INCLUIDO_ALTA,116
Core-shell molecularly imprinted polymers on magnetic yeast for the removal of sulfamethoxazole from water,2020,Polymers,10.3390/polym12061385,portugal,,Sulfametoxazol,,,Langmuir,PSO,,,,,Sintetica,,INCLUIDO_ALTA,69
Polystyrene magnetic nanocomposites as antibiotic adsorbents,2020,Polymers,10.3390/polym12061313,greece,Nanocompuesto,Ciprofloxacino,,,Langmuir,,,,,,,,INCLUIDO_ALTA,122
Evaluation of the activated carbon coated with multiwalled carbon nanotubes in removal of ciprofloxacin from aqueous solutions,2020,Applied Water Science,10.1007/s13201-020-01229-9,,Carbon activado,Ciprofloxacino,,,Freundlich,PSO,,,,,Sintetica,,INCLUIDO_ALTA,76
